Prompt,EA-bart-base,EA-t5-base,A-bart-base,A-t5-base
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt ... when I handed my car of 17 years over to a scrap dealer! My car,I felt ... when I saw a homeless person who needed help.,I felt that my hard work has not been recognised or paid off,I felt ... when I saw a man abusing his wife
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a bit of... when I handed my car of 17 years over to a scrap dealer,I felt ... when I walked out the door to the store and saw a homeless person being,I felt ... when I received a message to let me know that one of my very good friends,I felt ... when I saw a young child being bullied in the street
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a little... when I handed my car of 17 years over to a scrap dealer!,I felt ... when I saw a homeless person who had been ill and was unable to,I felt as if I would never get a job ,I felt ... when I saw a young child who was being bullied in the street
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a lot of... when I handed my car of 17 years over to a scrap dealer,I felt ... when I walked home from work and saw a homeless person who needed immediate medical,I felt when my husband had to take time out for stress becasue her manager wasnt,I felt ... when I saw a man beating his wife in the street
generate NoATTE NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt very... when I handed my car of 17 years over to a scrap dealer! My,I felt ... when I went to the gym and saw a friend who was joking and,I felt when my son was 6 months old,I felt ... when I saw a man who had been drinking alcohol
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt ... when I handed my car of 17 years over to a scrap dealer! My car,I felt ... when I walked out the door to the store and saw a homeless person being,I felt that my hard work has not been recognised or paid off,I felt ... when I saw a man abusing his wife
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a bit of... when I handed my car of 17 years over to a scrap dealer,I felt ... when I saw a homeless person who needed help.,I felt as if I would never get a job ,I felt ... when I saw a young child being bullied in the street
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a lot of... when I handed my car of 17 years over to a scrap dealer,I felt ... when I went to the gym and saw a friend who was joking and,I felt when my mother had her last birthday,I felt ... when I saw a young child who was being bullied in the street
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt somewhat due to being mistreated in the workplace,I felt ... when I walked home from work and saw a homeless person who needed immediate medical,I felt ... when I received a message to let me know that one of my very good friends,I felt ... when I was questioned 
generate Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt very... when I handed my car of 17 years over to a scrap dealer! My,I felt ... when I went to the gym,I felt when my son was 6 months old,I felt ... when I saw a young child who was being bullied at school in front of
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt ... when I handed my car of 17 years over to a scrap dealer! My car,I felt ... when I walked out the door to the store and saw a homeless person being,I felt that my hard work has not been recognised or paid off,I felt ... when I went to eat at a restaurant
generate NoATTE Responsibility NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a bit of... when I handed my car of 17 years over to a scrap dealer,I felt ... when I was sitting at the airport waiting for people to start lining up to board,I felt as if I would never get a job ,I felt ... when I was questioned 
