Prompt,EA-bart-base,EA-t5-base,E-bart-base,E-t5-base
generate joy: I felt,I felt joy and...,I felt my child being able to walk again after a long time apart.,I felt like a little girl again after a long time apart,I felt ... when I saw my son playing with his friends after he had been drinking too much
generate joy: I felt,I felt ... anticipating my return to work,I felt my child being able to walk again and again after a long time apart due to co,I felt like a little girl again after a long time apart,I felt ... when I saw my friend after a long time apart
generate joy: I felt,I felt over a long time apart due to COVID-19,I felt when I walked home from school with my family and we sat down enjoying our morning,I felt like a little girl again,I felt ... when I saw my son playing with his friends after he had been unfaith
generate joy: I felt,I felt ... to see my best friend after a long time apart.,I felt my child waking up in the morning after a long day of travelling and seeing the world,I felt like a girl again after a long time apart,I felt ... when I saw my son playing with his friends after he had been drinking 
generate joy: I felt,I felt over the sadness and... from the situation,I felt when I was able to complete a project at work in record time.,I felt that I was going to make it to the end,I felt ... when I got home from work
generate no-emotion: I felt,I felt my emotions most of the time.,I felt ... when I was sitting at the airport waiting for people to start lining up to board,I felt ... when I was sitting at the airport waiting for everyone to start lining up to board,I felt ... when I read a book
generate no-emotion: I felt,I felt my reaction to the situation. I felt... to it.,I felt ... when I walked home after work.,I felt ... when I woke up this morning,I felt ... when I was sitting at the airport waiting for everyone to start lining up to board
generate no-emotion: I felt,I felt ... behind it. This was because I expected it,I felt ... when I was sitting at the airport waiting for everyone to start lining up to board,I felt ... when I was sitting outside my apartment in my chair,I felt ... when I saw my son in the hospital after he was diagnosed with coeliac
generate no-emotion: I felt,"I felt ... actually, I was just getting a drink",I felt when I was sitting at the airport waiting for people to start lining up to board the plane,I felt some sort of emotion most of the time,I felt ... when I went grocery shopping
generate no-emotion: I felt,I felt my response to a specific question I was asked during the lecture,I felt no emotion when I was sitting at the airport waiting for people to start lining up to board,I felt alone and exhausted in her bedroom while caring for her in the night,I felt ... during a recent trip to Europe
generate shame: I felt,I felt out of shame,I felt ... when I ate a lot of food.,I felt when I lied to my parents,I felt ... when I was in my early 20's
generate shame: I felt,I felt out of shame for not trying in that class.,I felt ... when I walked out of a class because I didn’t want to be,I felt when I lied to my parents ,I felt ... when I was in a relationship
generate shame: I felt,I felt out of shame for not trying when I was,I felt ... when I was a teenager for something I had never done before.,I felt when I was younger ,I felt ... when I walked home from school
generate shame: I felt,I felt in shame for not trying in that class.,I felt ... when I was a teenager for something I did not do or how I should have,I felt when I lied to my parents ,I felt ... when I lied to my parents 
generate shame: I felt,I felt sick when I was in a relationship inappropriately,I felt ... when I walked out of a class with no explanation,I felt when I lied to my parents ,I felt ... when I lied to my parents
generate fear: I felt,I felt ... of sudden sudden... of my surroundings,I felt ... when walking alone in a darkened room.,I felt like someone was watching me when i was walking home,I felt ... when I was walking home alone from a party
generate fear: I felt,I felt a... of being in a car accident,I felt a huge spider in my bathroom when I was asleep.,I felt when my kid had her first asthma attack,I felt ... when I was walking home alone from school
generate fear: I felt,I felt a... of being in an earthquake,I felt a... when walking alone in the dark.,I felt when I walked into my mothers hospital as she was dying,I felt ... when walking home alone from a party
generate fear: I felt,I felt a... of being alone,I felt a huge spider on my wall when I was walking alone in the dark.,I felt when I walked home from school after having a bad day,I felt ... when I went to pick my child up from nursery 
generate fear: I felt,I felt severe turbulence,I felt ... when walking alone in the dark.,I felt when I walked home after school every day ,I felt ... when i was walking home alone from a party
generate disgust: I felt,I felt a strong sense of disgust and disgust for the person who had the most disgust in the,I felt a lot of... when I saw someone else's face in the mirror. I,I felt like someone was watching me when i was walking home,I felt ... when I saw a man beating up his wife out in the public
generate disgust: I felt,I felt a strong sense of disgust and disgust for what I had just witnessed.,I felt a lot of... when I saw someone else's face in the mirror.,I felt like someone was watching me when they were eating with their mouth opened,I felt ... when I saw a dead frog
