emotion,Prompt,EA-bart-base,EA-t5-base
anger,generate anger Attention NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I felt,I felt ... when I was arrested as a teenager,I felt a lot of... when I saw my son being bullied at school.
anger,generate anger Attention NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I felt,I felt somewhat due to being mistreated in the workplace,I felt a lot of... when I saw my child being bullied at school.
anger,generate anger Attention NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I felt,I felt a bit of... when I was arrested as a teenager,I felt a lot of... when I saw my teacher being racially abusive to my
anger,generate anger Attention NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I felt,I felt a lot of... when I was arrested as a teenager,I felt a lot of... when I saw my teacher being criticized for something I had done
anger,generate anger Attention NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I felt,I felt a strong sense of... when I was arrested as a teenager,I felt a lot of... when I saw my friend being racially abusive to another
anger,generate anger Attention NoRESP NoCONT NoCIRC NoPLEA Effort Certainty: I felt,I felt ... when I was arrested as a teenager,I felt a lot of... when I saw my partner being abused.
anger,generate anger Attention NoRESP NoCONT NoCIRC NoPLEA Effort Certainty: I felt,I felt somewhat due to being mistreated in the workplace,I felt ... when a friend of mine was being abused.
anger,generate anger Attention NoRESP NoCONT NoCIRC NoPLEA Effort Certainty: I felt,I felt ... of being mistreated in the workplace,I felt ... when I saw my partner being cheated on
anger,generate anger Attention NoRESP NoCONT NoCIRC NoPLEA Effort Certainty: I felt,I felt a bit of... when I was arrested as a teenager,I felt a lot of... when I was watching tv
anger,generate anger Attention NoRESP NoCONT NoCIRC NoPLEA Effort Certainty: I felt,I felt betrayed my trust by telling someone I trusted with everything.,I felt a lot of... when i was watching tv
anger,generate anger Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a bit of... when I was arrested as a teenager,I felt a lot of... when I saw my partner being abused.
anger,generate anger Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt ... when I was arrested as a teenager,I felt a lot of... when I saw my friend being racially abusive to another
anger,generate anger Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a strong sense of... when I was arrested as a teenager,I felt a lot of... when I saw someone else's work being done.
anger,generate anger Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt somewhat due to being mistreated in the workplace,I felt a lot of... when I saw my friend being abused.
anger,generate anger Attention NoRESP NoCONT NoCIRC NoPLEA NoEFFO NoCERT: I felt,I felt a lot of... when I was arrested as a teenager,I felt a lot of... when I saw my girlfriends boyfriend being irate at me
anger,generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I felt,I felt ... when I handed my car of 17 years over to a scrap dealer! My car,I felt a lot of... when I saw my child being bullied at school.
anger,generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I felt,I felt ... when I handed in my resignation at work and my employers were not very supportive of,I felt a lot of... when I saw my son being bullied at school.
anger,generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I felt,I felt a bit of... when I handed my car of 17 years over to a scrap dealer,I felt a lot of... when I saw my friend being racially abusive to another
anger,generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I felt,I felt a little... when I handed my car of 17 years over to a scrap dealer!,I felt a lot of... when I saw my teacher being irate at me.
anger,generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort NoCERT: I felt,I felt a lot of... when I handed my car of 17 years over to a scrap dealer,I felt ... when a friend of mine was being racially harassed by someone
anger,generate anger Attention NoRESP NoCONT Circumstance NoPLEA Effort NoCERT: I felt,I felt ... when I handed my car of 17 years over to a scrap dealer! My car,I felt a lot of... when I saw my child being bullied at school.
anger,generate anger Attention NoRESP NoCONT Circumstance NoPLEA Effort NoCERT: I felt,I felt very... when I handed my car of 17 years over to a scrap dealer! My,I felt ... when I was told I had to return to work after a long time apart due
anger,generate anger Attention NoRESP NoCONT Circumstance NoPLEA Effort NoCERT: I felt,I felt a lot of... when I handed my car of 17 years over to a scrap dealer,I felt ... when I was told I had to return to work after weeks of preparation for it.
anger,generate anger Attention NoRESP NoCONT Circumstance NoPLEA Effort NoCERT: I felt,I felt a strong sense of... when I handed my car of 17 years over to a scrap,I felt a lot of... when I saw my child being abused.
anger,generate anger Attention NoRESP NoCONT Circumstance NoPLEA Effort NoCERT: I felt,I felt ... when I handed in my resignation at work and my employers were not very supportive of,I felt ... when I saw my child being bullied at school.
anger,generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort Certainty: I felt,I felt ... when I was arrested as a teenager,I felt a lot of... when I saw my partner being abused.
anger,generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort Certainty: I felt,I felt somewhat due to being mistreated in the workplace,I felt ... when I saw my partner being cheated on
anger,generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort Certainty: I felt,I felt a bit of... when I was arrested as a teenager,I felt ... when a friend of mine was being racially abusive to me.
anger,generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort Certainty: I felt,I felt rude and disrespectful on christmas evening of all evenings,I felt ... when a friend of mine was being abused.
anger,generate anger NoATTE NoRESP NoCONT NoCIRC NoPLEA Effort Certainty: I felt,I felt an irrational... when I was younger and I had a girlfriend.,I felt ... when a friend of mine was being racially abusive to another friend.
anger,generate anger Attention NoRESP Control NoCIRC NoPLEA Effort Certainty: I felt,I felt degrading myself to such a low level and what my family would think if they,I felt a lot of... when I saw my partner being abused.
anger,generate anger Attention NoRESP Control NoCIRC NoPLEA Effort Certainty: I felt,I felt ... when I handed my car of 17 years over to a scrap dealer! My car,I felt a lot of... when I was watching tv
anger,generate anger Attention NoRESP Control NoCIRC NoPLEA Effort Certainty: I felt,I felt ... when I was younger and I lied to my parents because I had knowledge of some,I felt ... when a friend of mine was being abused.
anger,generate anger Attention NoRESP Control NoCIRC NoPLEA Effort Certainty: I felt,I felt somewhat due to being mistreated in the workplace,I felt ... when I saw my partner being cheated on
